time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"May 30 , 1993","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Michael Blum (born May 30, 1993) is an American record producer, singer, songwriter and guitarist.",0,0,,47072932,1993-05-30,1993-05-30,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,"In 2020, he was named an inaugural recipient of ASCAP's Peggy Lee Songwriter Award, and he was named the ""Rising Star"" guitarist in the 63rd Annual Critics Poll in DownBeat magazine.",1,0,,47072932,2020-01-01,2020-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011, Blum began studying at Dartmouth College, from which he graduated with a double major in music and cognitive science.",0,5,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,2011-01-01,2011-12-31,ML
February 2014,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In February 2014, Blum released his debut jazz album, Initiation, with his quartet, which features bassist Jim Stinnett, pianist Brad Smith and drummer Dom Moio.",4,5,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,2014-02-01,2014-02-28,ML
June 2015,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"""In June 2015, Blum was named the ""Rising Star"" guitarist in the 63rd Annual Critics Poll in Downbeat Magazine.",9,5,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,2015-06-01,2015-06-30,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Later in 2016, Blum released Expansion, a jazz fusion project.",12,5,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,2016-01-01,2016-12-31,ML
January 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2017, Blum released his first jazz-pop album as a singer-songwriter, The Reservoir.",0,6,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,2017-01-01,2017-01-31,ML
March 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In March 2019, Blum announced that he had begun a new solo project with his single ""Taking You Back"".",0,8,== Life and career == | === 2019-present ===,47072932,2019-03-01,2019-03-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Later in 2019, Blum moved to Los Angeles, CA and began co-writing and producing singles for artists including WESLEY, Jenna Lotti, Jake Clark, Michelle Ray, Sophie Ann and more.",2,8,== Life and career == | === 2019-present ===,47072932,2019-01-01,2019-12-31,ML
1993-2011,NNS,YEAR_REGEX_1,TIME,time_reference,1993-2011:,1,2,== Life and career == | === 1993-2011: Early life ===,47072932,,,ML
2011-2019,CD,YEAR_REGEX_1,TIME,time_reference,=== 2011-2019:,0,4,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,,,ML
the summer,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"During the summer of his freshman year, Blum worked as a pit musician at the New London Barn Playhouse, where he decided to pursue music professionally.",1,5,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,,,ML
previously,RB,TIMELINE_REGEX,TIME,time_reference,"He soon began studying with Berklee College of Music professor, Jim Stinnett, who previously taught Blum's father.",2,5,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,,,ML
a year,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"After studying with him for a year, Stinnett suggested that he and Blum record an album together.",3,5,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,,,ML
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,"In a review of Initiation, Vintage Guitar Magazine said, ""Hope for jazz guitar's future abounds in this release by the 20-year-old Blum and his quartet…[it's] the perfect debut for a player who seems wise beyond his years.",8,5,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,,,ML
month,NN,TIME_UNIT_REGEX,TIME,time_reference,"That same month, Blum released his second album and vocal debut, Commitment, which features bassist Jim Stinnett, pianist Brad Smith, saxophonist Fred Haas and electric bassist Grant Stinnett.",10,5,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,,,ML
The next year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The next year, Blum released Chasin' Oscar: A Tribute to Oscar Peterson, which Downbeat Magazine praised for its ""enviable and rare combination of technique and taste.""",11,5,== Life and career == | === 2011-2019: Jazz releases and The Reservoir ===,47072932,,,ML
2019-present,JJ,YEAR_REGEX_1,TIME,time_reference,=== 2019-present =,0,7,== Life and career == | === 2019-present ===,47072932,,,ML
Later that year,RB IN NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"Later that year, Blum released the second single from his solo project, ""Promises,"" a self-produced up-tempo track inspired by uncertainty in his life., and ""Save Me,"" an up-tempo track inspired by Blum's personal battles with anxiety.",1,8,== Life and career == | === 2019-present ===,47072932,,,ML
