time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 8 , 1977","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"David Michael Farrell, better known by his stage name Phoenix (born February 8, 1977) is an American musician, best known as the bassist and backing vocalist of the rock band Linkin Park.",0,0,,269955,1977-02-08,1977-02-08,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,Farrell left the band in 2000.,4,4,== Early life == | === Tasty Snax ===,269955,2000-01-01,2000-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"He contributed to the band's self-titled demo tape in 1997, but left the project to tour with Tasty Snax.",1,6,== Early life == | === Linkin Park ===,269955,1997-01-01,1997-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,Farrell returned to Linkin Park in 2000 after a year-long absence.,3,6,== Early life == | === Linkin Park ===,269955,2000-01-01,2000-12-31,ML
nearly three years,RB CD NNS,PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,Linkin Park went on a hiatus for nearly three years after Chester Bennington died in 2017.,4,6,== Early life == | === Linkin Park ===,269955,,,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,Linkin Park went on a hiatus for nearly three years after Chester Bennington died in 2017.,4,6,== Early life == | === Linkin Park ===,269955,2017-01-01,2017-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,"In 2020, Farrell revealed that Linkin Park is working on new music.",5,6,== Early life == | === Linkin Park ===,269955,2020-01-01,2020-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,Meteora (2003),0,9,== Discography == | === With Linkin Park ===,269955,2003-01-01,2003-12-31,ML
Minutes to Midnight,NNS TO NNP,TIME_UNIT_REGEX LINKAGE_REGEX DAY_TIME_REGEX,TIME MODIFIER TIME,time_reference,Minutes to Midnight (2007),0,10,== Discography == | === With Linkin Park ===,269955,,,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Minutes to Midnight (2007),0,10,== Discography == | === With Linkin Park ===,269955,2007-01-01,2007-12-31,ML
A Thousand Suns,DT NNP NNP,INARTICLE_REGEX BASIC_NUMBER_REGEX_1 WEEK_ABBR_REGEX,MODIFIER NUMERAL TIME,time_reference,A Thousand Suns (2010),0,11,== Discography == | === With Linkin Park ===,269955,,,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,A Thousand Suns (2010),0,11,== Discography == | === With Linkin Park ===,269955,2010-01-01,2010-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,Living Things (2012),0,12,== Discography == | === With Linkin Park ===,269955,2012-01-01,2012-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,The Hunting Party (2014),0,13,== Discography == | === With Linkin Park ===,269955,2014-01-01,2014-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,One More Light (2017),0,14,== Discography == | === With Linkin Park ===,269955,2017-01-01,2017-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,Run Joseph Run (1998),0,16,== Discography == | === With Tasty Snax ===,269955,1998-01-01,1998-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,Snax (2000),0,17,== Discography == | === With Tasty Snax ===,269955,2000-01-01,2000-12-31,ML
