time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"October 27 , 1924 – February 15 , 1993","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0
1925,CD,YEAR_REGEX_1,TIME,time_reference,0,2
1943 to 1953,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,0,4
1950,CD,YEAR_REGEX_1,TIME,time_reference,0,4
1953,CD,YEAR_REGEX_1,TIME,time_reference,1,4
1954-60,JJ,YEAR_REGEX_1,TIME,time_reference,2,4
1954 to 1960,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,3,4
1960,CD,YEAR_REGEX_1,TIME,time_reference,0,5
1984,CD,YEAR_REGEX_1,TIME,time_reference,1,5
1984,CD,YEAR_REGEX_1,TIME,time_reference,1,5
1986,CD,YEAR_REGEX_1,TIME,time_reference,1,5
1992,CD,YEAR_REGEX_1,TIME,time_reference,1,5
the 1985,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,5
the late 1940s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,0,7
