time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"September 8 , 1956","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Wild"" Mick Brown (born September 8, 1956) is an American drummer who has played in the bands Dokken, Ted Nugent, Lynch Mob, and Xciter.",1,0,,2033690
"September 8 , 1956","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Mick Brown was born in San Mateo County, California on September 8, 1956 and began playing drums at age 8 when on his birthday he took his first drum lesson from Mickey Hart (who three years later joined the rock band The Grateful Dead.)",0,3,== Biography == | === Early life ===,2033690
three years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Mick Brown was born in San Mateo County, California on September 8, 1956 and began playing drums at age 8 when on his birthday he took his first drum lesson from Mickey Hart (who three years later joined the rock band The Grateful Dead.)",0,3,== Biography == | === Early life ===,2033690
1981,CD,YEAR_REGEX_1,TIME,time_reference,Mick Brown joined Dokken in 1981.,0,6,== Career == | === Dokken ===,2033690
1975-1977,JJ,YEAR_REGEX_1,TIME,time_reference,Before that Brown played drums in The Boyz (1975-1977) and then in Xciter (1977-1981).,2,6,== Career == | === Dokken ===,2033690
1977-1981,JJ,YEAR_REGEX_1,TIME,time_reference,Before that Brown played drums in The Boyz (1975-1977) and then in Xciter (1977-1981).,2,6,== Career == | === Dokken ===,2033690
1995,CD,YEAR_REGEX_1,TIME,time_reference,"He sang vocals on the track ""Tooth and Nail"" on Dokken's live acoustic album, released in 1995, entitled One Live Night.",0,7,== Career == | === Dokken ===,2033690
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,"He sang vocals on the track ""Tooth and Nail"" on Dokken's live acoustic album, released in 1995, entitled One Live Night.",0,7,== Career == | === Dokken ===,2033690
July 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,In July 2019 Brown said he was taking a break from touring and playing live.,2,8,== Career == | === Dokken ===,2033690
Around 2003,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Around 2003 in a conversation with Ted Nugent, former Nugent lighting designer Will Twork mentioned that Brown would be the perfect addition to Nugent's band after Nugent had heard about Brown from then-bass player Barry Sparks.",0,10,== Career == | === Ted Nugent ===,2033690
the 1995,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Twork had worked with Brown on the first Lynch Mob tour, as well as on the 1995 Dokken ""Reunion Tour"" in Japan.",1,10,== Career == | === Ted Nugent ===,2033690
2015,CD,YEAR_REGEX_1,TIME,time_reference,"""Mick is an awesome drummer and personality and perfect for Nugent"", said Twork in 2015.",2,10,== Career == | === Ted Nugent ===,2033690
2006,CD,YEAR_REGEX_1,TIME,time_reference,"In 2006 Brown played drums for Nugent on Nugent's Unleash The Beast Tour, and in 2013 Brown played drums for Nugent on Nugent's Mid-west Rock-n-Roll Express 2013 Tour.",3,10,== Career == | === Ted Nugent ===,2033690
2013,CD,YEAR_REGEX_1,TIME,time_reference,"In 2006 Brown played drums for Nugent on Nugent's Unleash The Beast Tour, and in 2013 Brown played drums for Nugent on Nugent's Mid-west Rock-n-Roll Express 2013 Tour.",3,10,== Career == | === Ted Nugent ===,2033690
2013,CD,YEAR_REGEX_1,TIME,time_reference,"In 2006 Brown played drums for Nugent on Nugent's Unleash The Beast Tour, and in 2013 Brown played drums for Nugent on Nugent's Mid-west Rock-n-Roll Express 2013 Tour.",3,10,== Career == | === Ted Nugent ===,2033690
"October 31 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Their debut album ""Slave To The Empire"" was released October 31, 2012.",1,12,== Career == | === Tooth And Nail ===,2033690
"July 8 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On July 8, 2012, Brown was arrested in Bangor, Maine, after he reportedly stole a golf cart and drove it down a Bangor street drunk, after performing with Ted Nugent.",0,17,== Arrest ==,2033690
"August 15 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"He was released on $4,000 bail and was due back in court on August 15, 2012.",2,17,== Arrest ==,2033690
November 13,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"Having initially pleaded not guilty, on November 13 of that year he pleaded guilty to DUI with the other charges being dropped, was fined $1,000 and banned from driving for 90 days.",3,17,== Arrest ==,2033690
13 of that year,CD IN DT NN,DIGIT_REGEX_1 PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,NUMERAL MODIFIER MODIFIER TIME,time_range,"Having initially pleaded not guilty, on November 13 of that year he pleaded guilty to DUI with the other charges being dropped, was fined $1,000 and banned from driving for 90 days.",3,17,== Arrest ==,2033690
90 days,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Having initially pleaded not guilty, on November 13 of that year he pleaded guilty to DUI with the other charges being dropped, was fined $1,000 and banned from driving for 90 days.",3,17,== Arrest ==,2033690
