types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatIslamicOrganizations,http://dbpedia.org/resource/Progressive_Muslim_Union,PMU,15,112,0.9999999992482174,7.485432767432406e-10,1,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/WikicatIslamicOrganizationsBasedInTheUnitedStates,http://dbpedia.org/resource/Progressive_Muslim_Union,PMU,15,112,0.9999999992482174,7.485432767432406e-10,1,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Progressive_Muslim_Union,PMU,15,112,0.9999999992482174,7.485432767432406e-10,1,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Progressive_Muslim_Union,PMU,15,112,0.9999999992482174,7.485432767432406e-10,1,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Progressive_Muslim_Union,PMU,15,112,0.9999999992482174,7.485432767432406e-10,1,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Progressive_Muslim_Union,PMU,15,112,0.9999999992482174,7.485432767432406e-10,1,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/WikicatReligiousOrganizationsEstablishedIn2004,http://dbpedia.org/resource/Progressive_Muslim_Union,PMU,15,112,0.9999999992482174,7.485432767432406e-10,1,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Progressive_Muslim_Union,PMU,15,112,0.9999999992482174,7.485432767432406e-10,1,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Progressive_Muslim_Union,PMU,15,112,0.9999999992482174,7.485432767432406e-10,1,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Progressive_Muslim_Union,PMU,15,112,0.9999999992482174,7.485432767432406e-10,1,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Progressive_Muslim_Union,PMU,15,112,0.9999999992482174,7.485432767432406e-10,1,12,== Books == | === Blue-Eyed Devil ===
