types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/WikicatArtGenres,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/WikicatArtMovements,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/ontology/Artwork,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/ArtisticMovement108466643,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/Movement108464601,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Combine_painting,combine painting,37,195,1.0,0.0,1,28,== Works == | === Early works ===
