types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Machine103699975,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/MachineTool103702248,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/OutputDevice103861048,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/ElectronicEquipment103278248,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Equipment103294048,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/WikicatComputerPeripherals,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/WikicatComputingOutputDevices,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/WikicatMachineTools,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Peripheral103916720,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/3D_printing,3D printing,2486,238,1.0,1.129638350367184e-15,0,41,== Personal life == | === Humor ===
