types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/WikicatHipHopGenres,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/WikicatMusicGenres,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Rapping,vocals,10201,24,0.6752245114472661,0.4718810935392918,1,8,== Career == | === 2009–10: Unleashed ===
