types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Talk_box,Talk Box,328,48,1.0,0.0,2,11,== Biography == | === Solo career ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Talk_box,Talk Box,328,48,1.0,0.0,2,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Talk_box,Talk Box,328,48,1.0,0.0,2,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Talk_box,Talk Box,328,48,1.0,0.0,2,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/ElectronicInstrument103279153,http://dbpedia.org/resource/Talk_box,Talk Box,328,48,1.0,0.0,2,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Talk_box,Talk Box,328,48,1.0,0.0,2,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Talk_box,Talk Box,328,48,1.0,0.0,2,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Talk_box,Talk Box,328,48,1.0,0.0,2,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Talk_box,Talk Box,328,48,1.0,0.0,2,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Talk_box,Talk Box,328,48,1.0,0.0,2,11,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/WikicatElectronicMusicalInstruments,http://dbpedia.org/resource/Talk_box,Talk Box,328,48,1.0,0.0,2,11,== Biography == | === Solo career ===
