types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://www.wikidata.org/entity/Q41176,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/class/yago/WikicatBroadwayTheatres,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/class/yago/WikicatDemolishedTheatresInTheUnitedStates,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/class/yago/Theater104417809,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Casino_Theatre_(New_York_City),Casino Theatre,200,55,0.8309907225448202,0.1962545289831181,1,7,== Career == | === Broadway ===
