types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/WikicatWesternMedievalLyricForms,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/WritingStyle107092158,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/WikicatLiteraryGenres,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/WikicatMusicalForms,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/Form106290637,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
http://dbpedia.org/class/yago/WikicatOccitanLiteraryGenres,http://dbpedia.org/resource/Tenso,poetical debate,174,12,1.0,0.0,0,90,== Works == | === Genres ===
