types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Island109316454,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Land109334396,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Landmass109335916,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Archipelago109203827,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Continent109254614,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/ontology/Island,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatCaribbeanIslands,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatArchipelagoes,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatArchipelagoesOfTheCaribbeanSea,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Antilles,ANTILLES,1382,30,0.9373106433541656,0.0586673190623137,0,120,== Discography == | === As sideman ===
