types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hardcore_(electronic_dance_music_genre),hardcore techno,514,91,0.9999999645556849,0.0,2,0,
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Hardcore_(electronic_dance_music_genre),hardcore techno,514,91,0.9999999645556849,0.0,2,0,
http://umbel.org/umbel/rc/MusicalComposition,http://dbpedia.org/resource/Hardcore_(electronic_dance_music_genre),hardcore techno,514,91,0.9999999645556849,0.0,2,0,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Hardcore_(electronic_dance_music_genre),hardcore techno,514,91,0.9999999645556849,0.0,2,0,
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Hardcore_(electronic_dance_music_genre),hardcore techno,514,91,0.9999999645556849,0.0,2,0,
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Hardcore_(electronic_dance_music_genre),hardcore techno,514,91,0.9999999645556849,0.0,2,0,
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Hardcore_(electronic_dance_music_genre),hardcore techno,514,91,0.9999999645556849,0.0,2,0,
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Hardcore_(electronic_dance_music_genre),hardcore techno,514,91,0.9999999645556849,0.0,2,0,
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Hardcore_(electronic_dance_music_genre),hardcore techno,514,91,0.9999999645556849,0.0,2,0,
http://dbpedia.org/class/yago/WikicatElectronicDanceMusicGenres,http://dbpedia.org/resource/Hardcore_(electronic_dance_music_genre),hardcore techno,514,91,0.9999999645556849,0.0,2,0,
