types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/class/yago/WikicatComedyBooks,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/class/yago/Book106410904,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
http://dbpedia.org/class/yago/Wikicat1824Books,http://dbpedia.org/resource/Woe_from_Wit,Wit Works Woe,95,0,1.0,0.0,0,9,== Main works ==
