types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/And_That_Reminds_Me,My Heart Reminds Me,15,63,1.0,0.0,2,8,== Life and career ==
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/And_That_Reminds_Me,My Heart Reminds Me,15,63,1.0,0.0,2,8,== Life and career ==
http://dbpedia.org/class/yago/WikicatKayStarrSongs,http://dbpedia.org/resource/And_That_Reminds_Me,My Heart Reminds Me,15,63,1.0,0.0,2,8,== Life and career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/And_That_Reminds_Me,My Heart Reminds Me,15,63,1.0,0.0,2,8,== Life and career ==
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/And_That_Reminds_Me,My Heart Reminds Me,15,63,1.0,0.0,2,8,== Life and career ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/And_That_Reminds_Me,My Heart Reminds Me,15,63,1.0,0.0,2,8,== Life and career ==
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/And_That_Reminds_Me,My Heart Reminds Me,15,63,1.0,0.0,2,8,== Life and career ==
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/And_That_Reminds_Me,My Heart Reminds Me,15,63,1.0,0.0,2,8,== Life and career ==
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/And_That_Reminds_Me,My Heart Reminds Me,15,63,1.0,0.0,2,8,== Life and career ==
http://dbpedia.org/class/yago/Wikicat1957Songs,http://dbpedia.org/resource/And_That_Reminds_Me,My Heart Reminds Me,15,63,1.0,0.0,2,8,== Life and career ==
http://dbpedia.org/class/yago/WikicatSongsWithLyricsByAlStillman,http://dbpedia.org/resource/And_That_Reminds_Me,My Heart Reminds Me,15,63,1.0,0.0,2,8,== Life and career ==
