types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/WikicatPepsiCoBrands,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://umbel.org/umbel/rc/Drink,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Beverage107881800,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Drink107885223,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Fluid114939900,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Food100021265,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Helping107578363,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/IndefiniteQuantity113576355,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Liquid114940386,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Name106333653,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/SmallIndefiniteQuantity113760316,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/Substance100020090,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/TradeName106845599,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/WikicatNon-alcoholicBeverages,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
http://dbpedia.org/class/yago/WikicatSportsDrinks,http://dbpedia.org/resource/Gatorade,Gatorade G2,935,0,1.0,0.0,0,33,== Filmography == | === Commercials ===
