types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHumanRights,http://dbpedia.org/resource/Universal_Periodic_Review,Universal Periodic Review (UPR),248,172,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Universal_Periodic_Review,Universal Periodic Review (UPR),248,172,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Universal_Periodic_Review,Universal Periodic Review (UPR),248,172,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Abstraction105854150,http://dbpedia.org/resource/Universal_Periodic_Review,Universal Periodic Review (UPR),248,172,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Universal_Periodic_Review,Universal Periodic Review (UPR),248,172,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Universal_Periodic_Review,Universal Periodic Review (UPR),248,172,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Universal_Periodic_Review,Universal Periodic Review (UPR),248,172,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/HumanRight105176846,http://dbpedia.org/resource/Universal_Periodic_Review,Universal Periodic Review (UPR),248,172,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Universal_Periodic_Review,Universal Periodic Review (UPR),248,172,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Universal_Periodic_Review,Universal Periodic Review (UPR),248,172,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Right105174653,http://dbpedia.org/resource/Universal_Periodic_Review,Universal Periodic Review (UPR),248,172,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
