types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/WikicatBahá'íTexts,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/WikicatHinduTexts,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/WikicatSanskritTexts,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/EpicPoem106379721,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/Matter106365467,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/Poem106377442,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/Text106387980,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/WikicatEpicPoems,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/WikicatEpicPoemsInSanskrit,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
http://dbpedia.org/class/yago/WikicatEpics,http://dbpedia.org/resource/Mahabharata,Mahabharata,6845,47,0.999999999989285,9.656704065816984e-12,6,42,== Contributions to literature and music ==
