types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/WikicatPeopleInInformationTechnology,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/WikicatPeopleInTheVideoGameIndustry,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/WikicatVideoGameDesigners,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/InteriorDesigner110210648,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/Specialist110631941,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Video_game_developer,video game development studio,2831,27,1.0,0.0,7,10,== Destiny and post-Bungie ==
