types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/WikicatBottledWaterBrands,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Beverage107881800,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/BottledWater107935737,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/DrinkingWater107936263,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Fluid114939900,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Food100021265,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Liquid114940386,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Name106333653,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Nutrient100021734,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Substance100020090,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/TradeName106845599,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
http://dbpedia.org/class/yago/Water107935504,http://dbpedia.org/resource/Icelandic_Glacial,Icelandic Glacial,10,183,1.0,0.0,0,64,== Other interests == | ==== Environment ====
