types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/WikicatMarvelComics,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/Comedian109940146,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Marvel_Universe,universe,1838,74,0.9995764872509852,0.00030164952951535954,1,8,== Fictional character biography == | === Exiles ===
