types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/WikicatHumanSpaceflightProgrammes,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/WikicatProjects,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Work100575741,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/WikicatMilitaryProjects,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/WikicatNASAPrograms,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Announcement106746580,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Plan105898568,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Program105899087,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Program106748466,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/SpaceProgram105900716,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Statement106722453,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/System105661996,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/Undertaking100795720,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/WikicatEngineeringProjects,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/class/yago/WikicatSpacePrograms,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
http://dbpedia.org/ontology/ArtificialSatellite,http://dbpedia.org/resource/Project_Gemini,Project Gemini,1656,0,0.999999999948514,0.0,1,9,== NASA career == | === Project Gemini ===
