types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatSingles,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/MemoryDevice103744840,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/PhonographRecord103924069,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Recording104063868,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/SoundRecording104262678,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Wikicat120MmDiscs,http://dbpedia.org/resource/CD_single,3-inch CD,3564,1,0.9138619449444326,0.0942571857074198,1,21,== Discography == | === EPs ===
