types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Poem,http://dbpedia.org/resource/The_Excursion,The Excursion,27,0,1.0,0.0,0,3,== Discography ==
http://dbpedia.org/class/yago/WikicatPhilosophicalPoems,http://dbpedia.org/resource/The_Excursion,The Excursion,27,0,1.0,0.0,0,3,== Discography ==
http://dbpedia.org/class/yago/WikicatPoems,http://dbpedia.org/resource/The_Excursion,The Excursion,27,0,1.0,0.0,0,3,== Discography ==
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/The_Excursion,The Excursion,27,0,1.0,0.0,0,3,== Discography ==
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/The_Excursion,The Excursion,27,0,1.0,0.0,0,3,== Discography ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Excursion,The Excursion,27,0,1.0,0.0,0,3,== Discography ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Excursion,The Excursion,27,0,1.0,0.0,0,3,== Discography ==
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/The_Excursion,The Excursion,27,0,1.0,0.0,0,3,== Discography ==
http://dbpedia.org/class/yago/Poem106377442,http://dbpedia.org/resource/The_Excursion,The Excursion,27,0,1.0,0.0,0,3,== Discography ==
http://dbpedia.org/class/yago/Wikicat1814Poems,http://dbpedia.org/resource/The_Excursion,The Excursion,27,0,1.0,0.0,0,3,== Discography ==
