types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Plastic_arts,plastic arts,328,18,1.0,0.0,1,3,== Life and career == | === Early life ===
http://dbpedia.org/class/yago/WikicatPlasticArts,http://dbpedia.org/resource/Plastic_arts,plastic arts,328,18,1.0,0.0,1,3,== Life and career == | === Early life ===
http://dbpedia.org/ontology/ChemicalCompound,http://dbpedia.org/resource/Plastic_arts,plastic arts,328,18,1.0,0.0,1,3,== Life and career == | === Early life ===
http://dbpedia.org/class/yago/WikicatVisualArts,http://dbpedia.org/resource/Plastic_arts,plastic arts,328,18,1.0,0.0,1,3,== Life and career == | === Early life ===
http://dbpedia.org/class/yago/Art102743547,http://dbpedia.org/resource/Plastic_arts,plastic arts,328,18,1.0,0.0,1,3,== Life and career == | === Early life ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Plastic_arts,plastic arts,328,18,1.0,0.0,1,3,== Life and career == | === Early life ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Plastic_arts,plastic arts,328,18,1.0,0.0,1,3,== Life and career == | === Early life ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Plastic_arts,plastic arts,328,18,1.0,0.0,1,3,== Life and career == | === Early life ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Plastic_arts,plastic arts,328,18,1.0,0.0,1,3,== Life and career == | === Early life ===
http://dbpedia.org/class/yago/PlasticArt103958097,http://dbpedia.org/resource/Plastic_arts,plastic arts,328,18,1.0,0.0,1,3,== Life and career == | === Early life ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Plastic_arts,plastic arts,328,18,1.0,0.0,1,3,== Life and career == | === Early life ===
