types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatItalianPlays,http://dbpedia.org/resource/Il_feudatario,Il feudatario,2,0,0.9999998767353308,0.0,0,54,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/WikicatPlaysByCarloGoldoni,http://dbpedia.org/resource/Il_feudatario,Il feudatario,2,0,0.9999998767353308,0.0,0,54,== Selected works == | === Comedies ===
http://dbpedia.org/ontology/Play,http://dbpedia.org/resource/Il_feudatario,Il feudatario,2,0,0.9999998767353308,0.0,0,54,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Il_feudatario,Il feudatario,2,0,0.9999998767353308,0.0,0,54,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Il_feudatario,Il feudatario,2,0,0.9999998767353308,0.0,0,54,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Il_feudatario,Il feudatario,2,0,0.9999998767353308,0.0,0,54,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Il_feudatario,Il feudatario,2,0,0.9999998767353308,0.0,0,54,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/Il_feudatario,Il feudatario,2,0,0.9999998767353308,0.0,0,54,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Play107007945,http://dbpedia.org/resource/Il_feudatario,Il feudatario,2,0,0.9999998767353308,0.0,0,54,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Wikicat1752Plays,http://dbpedia.org/resource/Il_feudatario,Il feudatario,2,0,0.9999998767353308,0.0,0,54,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Wikicat18th-centuryPlays,http://dbpedia.org/resource/Il_feudatario,Il feudatario,2,0,0.9999998767353308,0.0,0,54,== Selected works == | === Comedies ===
