types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
http://dbpedia.org/class/yago/WikicatPhilosophicalTraditions,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
http://dbpedia.org/class/yago/WikicatPoliticalIdeologies,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
http://dbpedia.org/class/yago/WikicatPoliticalTheories,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
http://dbpedia.org/class/yago/Attitude106193203,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
http://dbpedia.org/class/yago/Orientation106208021,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
http://dbpedia.org/class/yago/PoliticalOrientation106212839,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
http://dbpedia.org/class/yago/Tradition105809745,http://dbpedia.org/resource/Marxist_philosophy,Marxist,430,167,0.7255685179461591,0.2467102506002935,2,58,== Intellectual influences == | === Karl Marx ===
