types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Invention105633385,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
http://dbpedia.org/ontology/Device,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
http://dbpedia.org/class/yago/WikicatFilmTechniques,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
http://dbpedia.org/class/yago/WikicatAmericanInventions,http://dbpedia.org/resource/Teleprompter,teleprompters,183,41,0.99999999906872,0.0,0,37,== Career == | === Singing ===
