types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatChiaroscuroRecordsArtists,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/WikicatMPSRecordsArtists,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/WikicatMilestoneRecordsArtists,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
http://dbpedia.org/class/yago/WikicatPausaRecordsArtists,http://dbpedia.org/resource/Summit_(groups),Vocal Summit,31,9,0.9999955999795728,0.0,0,37,== Filmography ==
