types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/ontology/Award,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/WikicatWeddingsByReligion,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/WikicatRituals,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Affair107447261,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Ceremony107450842,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Continuance101017987,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Custom100413239,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Practice100410247,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Ritual101027859,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Survival101022178,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
http://dbpedia.org/class/yago/Wedding107452074,http://dbpedia.org/resource/Jewish_wedding,Jewish wedding,183,129,0.9999999999955662,0.0,0,34,== Various Katz appearances ==
