types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/WikicatAlphabets,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/WikicatArtificialScripts,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/WikicatPhoneticAlphabets,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/WikicatWritingSystems,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/WikicatLatinAlphabets,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/Alphabet106497459,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/CharacterSet106488880,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/Database106637824,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/Information106634376,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/List106481320,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/Orthography106351202,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/PhoneticAlphabet106500448,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/Script106351613,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
http://dbpedia.org/class/yago/Script107009946,http://dbpedia.org/resource/International_Phonetic_Alphabet,International Phonetic Alphabet,3514,37,1.0,0.0,2,11,== Work ==
