types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
http://dbpedia.org/class/yago/WikicatMusiciansFromNamsos,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Askil_Holm,Askil Holm,13,46,1.0,0.0,0,11,== Career == | === Post-Idol career ===
