types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/WikicatAmusementParksInGermany,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/WikicatAutomobileMuseums,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/WikicatAutomobileMuseumsInGermany,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/ontology/AmusementParkAttraction,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/WikicatMuseumsInGermany,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/WikicatMuseumsInLowerSaxony,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/AmusementPark108494231,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/Depository103177349,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/Museum103800563,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/Park108615374,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Autostadt,Autostadt,38,219,1.0,0.0,0,14,== Biography == | === Events ===
