types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/NaturalLanguage106904171,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/WikicatIsolatingLanguages,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/WikicatSubject–verb–objectLanguages,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/WikicatTaiLanguages,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/WikicatTai–KadaiLanguages,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/WikicatTonalLanguages,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/WikicatLanguages,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/WikicatLanguagesOfCambodia,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/WikicatLanguagesOfThailand,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/WikicatLanguagesOfVietnam,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
http://dbpedia.org/class/yago/ToneLanguage106904943,http://dbpedia.org/resource/Thai_language,Thai language,5201,34,0.9999999999999716,0.0,2,22,== Literary Works == | === Literary career ===
