types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatScottishCrimeFictionWriters,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Frederic_Lindsay,Brond,21,29,0.9329818079228296,0.0718292845752112,0,105,== Discography == | === Singles ===
