types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
http://dbpedia.org/class/yago/WikicatHistoricalRegions,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
http://dbpedia.org/class/yago/WikicatRegions,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
http://dbpedia.org/class/yago/WikicatRegionsOfEurope,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
http://dbpedia.org/class/yago/Region108630039,http://dbpedia.org/resource/Central_Europe,Central European,5328,52,0.9426989974838004,0.0571972937061634,5,12,== Biography == | === Outside Sweden ===
