types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Sport,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/WikicatMedicalSpecialties,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/Discipline105996646,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/KnowledgeDomain105999266,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/LifeScience106037298,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/MedicalScience106045562,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/Medicine106043075,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/NaturalScience106000400,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
http://dbpedia.org/class/yago/Science105999797,http://dbpedia.org/resource/Hospital_medicine,Hospitalist,114,215,0.9999999991201776,0.0,0,9,== ZDoggMD == | === Current endeavors ===
