types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/WikicatPianoConcertos,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/ontology/ClassicalMusicComposition,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/WikicatMusicalForms,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/Concerto107043275,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/Form106290637,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Piano_concerto,piano,516,222,0.6231100649368534,0.5946598176925573,0,16,== Music == | === Recordings ===
